"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","id_year","gdd.start"
"Fagus","grandifolia",86277,2016,42.298065,-71.122131,21,108,252,111,147,115,NA,115,115,NA,NA,NA,147,252,NA,252,"86277 2016",46
"Fagus","grandifolia",135343,2017,42.298065,-71.122131,21,107,278,107,136,110,256,110,118,NA,245,239,136,278,256,256,"135343 2017",46
"Fagus","grandifolia",135911,2017,42.298065,-71.122131,21,109,245,113,160,113,256,113,124,NA,255,255,160,245,256,256,"135911 2017",46
"Populus","deltoides",86278,2016,42.296417,-71.128052,26,110,148,114,143,136,265,136,NA,NA,154,154,143,148,265,265,"86278 2016",46
"Populus","deltoides",86278,2017,42.296417,-71.128052,26,104,250,109,125,124,247,124,NA,109,147,143,125,250,247,247,"86278 2017",46
"Populus","deltoides",86278,2018,42.296417,-71.128052,26,117,270,117,131,124,260,118,124,152,148,148,131,270,260,260,"86278 2018",46
"Populus","deltoides",86279,2016,42.296417,-71.128052,26,119,148,114,NA,136,220,136,NA,NA,NA,NA,NA,148,220,220,"86279 2016",46
"Populus","deltoides",86279,2017,42.296417,-71.128052,26,104,231,109,124,124,236,124,109,109,161,161,124,231,236,236,"86279 2017",46
"Populus","deltoides",86279,2018,42.296417,-71.128052,26,117,236,117,147,124,236,118,124,NA,154,154,147,236,236,236,"86279 2018",46
"Populus","deltoides",86280,2016,42.296417,-71.128052,26,119,148,114,NA,136,247,136,NA,NA,NA,NA,NA,148,247,247,"86280 2016",46
"Populus","deltoides",86280,2017,42.296417,-71.128052,26,104,239,109,124,124,239,124,109,109,161,161,124,239,239,239,"86280 2017",46
"Populus","deltoides",86280,2018,42.296417,-71.128052,26,117,251,124,131,129,251,118,124,NA,159,154,131,251,251,251,"86280 2018",46
"Populus","deltoides",86281,2016,42.296417,-71.128052,26,119,229,114,129,133,229,133,NA,NA,153,153,129,229,229,229,"86281 2016",46
"Populus","deltoides",86281,2017,42.296417,-71.128052,26,104,231,109,124,124,236,124,109,110,161,161,124,231,236,236,"86281 2017",46
"Populus","deltoides",86281,2018,42.296417,-71.128052,26,117,236,117,131,124,236,118,124,NA,154,152,131,236,236,236,"86281 2018",46
"Populus","deltoides",86282,2016,42.296417,-71.128052,26,84,229,101,NA,133,229,133,114,115,NA,NA,NA,229,229,229,"86282 2016",46
"Populus","deltoides",86282,2017,42.296417,-71.128052,26,102,231,109,NA,120,236,120,109,110,NA,NA,NA,231,236,236,"86282 2017",46
"Populus","deltoides",86282,2018,42.296417,-71.128052,26,117,236,112,NA,123,236,118,NA,NA,NA,NA,NA,236,236,236,"86282 2018",46
"Quercus","alba",87756,2016,42.296417,-71.128052,26,115,148,NA,NA,133,291,133,NA,NA,247,NA,NA,148,291,291,"87756 2016",46
"Quercus","alba",87756,2017,42.296417,-71.128052,26,109,288,NA,241,120,260,120,NA,NA,247,260,241,288,260,260,"87756 2017",46
"Quercus","alba",87756,2018,42.296417,-71.128052,26,124,287,136,NA,124,276,124,136,136,251,NA,NA,287,276,276,"87756 2018",46
"Quercus","alba",87758,2016,42.300278,-71.124771,30,115,282,130,NA,142,282,142,142,142,282,NA,NA,282,282,282,"87758 2016",46
"Quercus","alba",87758,2017,42.300278,-71.124771,30,118,271,118,225,119,278,119,131,NA,264,257,225,271,278,278,"87758 2017",46
"Quercus","alba",87758,2018,42.300278,-71.124771,30,122,274,122,177,129,279,126,136,136,258,258,177,274,279,279,"87758 2018",46
"Quercus","alba",87759,2016,42.300278,-71.124771,30,127,282,142,NA,142,282,142,NA,NA,NA,NA,NA,282,282,282,"87759 2016",46
"Quercus","alba",87759,2017,42.300278,-71.124771,30,110,267,127,228,132,288,124,132,NA,257,257,228,267,288,288,"87759 2017",46
"Quercus","alba",87759,2018,42.300278,-71.124771,30,122,282,128,183,129,296,126,136,NA,282,282,183,282,296,296,"87759 2018",46
"Quercus","alba",87761,2016,42.300278,-71.124771,30,115,282,NA,NA,142,303,142,NA,NA,304,NA,NA,282,303,303,"87761 2016",46
"Quercus","alba",87761,2017,42.300278,-71.124771,30,117,291,131,266,124,300,124,NA,NA,264,266,266,291,300,300,"87761 2017",46
"Quercus","alba",87761,2018,42.300278,-71.124771,30,122,282,131,282,126,282,123,136,NA,260,NA,282,282,282,282,"87761 2018",46
"Quercus","alba",88311,2016,42.300278,-71.124771,30,115,279,142,NA,142,282,142,NA,NA,NA,NA,NA,279,282,282,"88311 2016",46
"Quercus","alba",88311,2017,42.300278,-71.124771,30,110,257,127,207,131,285,119,127,NA,288,NA,207,257,285,285,"88311 2017",46
"Quercus","alba",88311,2018,42.300278,-71.124771,30,122,282,128,183,129,282,123,131,135,282,282,183,282,282,282,"88311 2018",46
"Quercus","rubra",86285,2016,42.300278,-71.124771,30,115,282,NA,304,NA,282,130,NA,NA,243,304,304,282,282,282,"86285 2016",46
"Quercus","rubra",86285,2017,42.300278,-71.124771,30,117,177,118,215,118,285,118,124,NA,242,264,215,177,285,285,"86285 2017",46
"Quercus","rubra",86285,2018,42.300278,-71.124771,30,122,282,123,203,125,282,122,128,131,260,NA,203,282,282,282,"86285 2018",46
"Quercus","rubra",86286,2016,42.300278,-71.124771,30,127,282,NA,NA,142,282,142,NA,NA,243,NA,NA,282,282,282,"86286 2016",46
"Quercus","rubra",86286,2017,42.300278,-71.124771,30,119,270,NA,236,132,267,124,NA,NA,242,251,236,270,267,267,"86286 2017",46
"Quercus","rubra",86286,2018,42.300278,-71.124771,30,122,282,128,NA,125,282,125,130,131,NA,NA,NA,282,282,282,"86286 2018",46
"Quercus","rubra",86287,2016,42.300278,-71.124771,30,115,282,115,NA,NA,282,127,115,NA,243,NA,NA,282,282,282,"86287 2016",46
"Quercus","rubra",86287,2017,42.300278,-71.124771,30,110,272,117,264,113,291,113,NA,NA,NA,NA,264,272,291,291,"86287 2017",46
"Quercus","rubra",86287,2018,42.300278,-71.124771,30,118,272,128,208,122,282,122,129,NA,251,250,208,272,282,282,"86287 2018",46
"Quercus","rubra",86288,2016,42.300278,-71.124771,30,115,289,NA,264,142,289,130,NA,NA,264,290,264,289,289,289,"86288 2016",46
"Quercus","rubra",86288,2017,42.300278,-71.124771,30,110,271,NA,NA,127,267,119,NA,NA,264,NA,NA,271,267,267,"86288 2017",46
"Quercus","rubra",86288,2018,42.300278,-71.124771,30,122,282,128,260,125,296,123,130,131,260,264,260,282,296,296,"86288 2018",46
"Quercus","rubra",87760,2016,42.300278,-71.124771,30,115,282,115,NA,NA,282,127,NA,NA,268,NA,NA,282,282,282,"87760 2016",46
"Quercus","rubra",87760,2017,42.300278,-71.124771,30,110,272,NA,NA,124,288,117,NA,NA,NA,NA,NA,272,288,288,"87760 2017",46
"Quercus","rubra",87760,2018,42.300278,-71.124771,30,122,264,128,NA,122,282,122,129,135,272,NA,NA,264,282,282,"87760 2018",46
"Tilia","americana",86289,2016,42.296417,-71.128052,26,94,257,152,247,118,286,118,188,189,248,NA,247,257,286,286,"86289 2016",46
"Tilia","americana",86289,2017,42.296417,-71.128052,26,98,295,110,184,107,257,107,185,185,186,186,184,295,257,257,"86289 2017",46
"Tilia","americana",86289,2018,42.296417,-71.128052,26,117,276,136,188,124,271,122,177,NA,202,202,188,276,271,271,"86289 2018",46
"Tilia","americana",86290,2016,42.305161,-71.122452,13,111,252,142,199,122,260,115,182,189,262,262,199,252,260,260,"86290 2016",46
"Tilia","americana",86290,2017,42.305161,-71.122452,13,107,234,127,193,119,234,113,NA,NA,NA,234,193,234,234,234,"86290 2017",46
"Tilia","americana",86290,2018,42.305161,-71.122452,13,118,231,133,199,127,231,121,192,NA,222,218,199,231,231,231,"86290 2018",46
"Tilia","americana",87757,2016,42.296417,-71.128052,26,94,280,NA,247,133,262,118,NA,NA,NA,NA,247,280,262,262,"87757 2016",46
"Tilia","americana",87757,2017,42.296417,-71.128052,26,104,270,141,184,116,270,116,179,185,186,186,184,270,270,270,"87757 2017",46
"Tilia","americana",87757,2018,42.296417,-71.128052,26,123,260,134,206,124,262,124,NA,NA,246,225,206,260,262,262,"87757 2018",46
"Tilia","americana",87762,2016,42.305161,-71.122452,13,111,215,130,199,122,281,115,179,NA,262,262,199,215,281,281,"87762 2016",46
"Tilia","americana",87762,2017,42.305161,-71.122452,13,101,301,127,186,110,301,107,172,NA,234,221,186,301,301,301,"87762 2017",46
"Tilia","americana",87762,2018,42.305161,-71.122452,13,117,246,137,192,128,234,122,NA,NA,257,243,192,246,234,234,"87762 2018",46
"Tilia","americana",87763,2016,42.305161,-71.122452,13,105,252,152,193,115,260,115,176,178,293,262,193,252,260,260,"87763 2016",46
"Tilia","americana",87763,2017,42.305161,-71.122452,13,106,234,127,148,110,234,107,173,NA,234,224,148,234,234,234,"87763 2017",46
"Tilia","americana",87763,2018,42.305161,-71.122452,13,118,234,131,195,128,227,122,NA,NA,NA,NA,195,234,227,227,"87763 2018",46
