"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","gdd.start"
"Aesculus","flava",85755,2018,42.305161,-71.122452,13,114,159,117,145,117,272,117,133,NA,263,263,145,159,272,272,46
"Aesculus","flava",85756,2015,42.305161,-71.122452,13,NA,255,NA,230,NA,255,165,NA,NA,266,255,230,255,255,255,46
"Aesculus","flava",85756,2016,42.305161,-71.122452,13,110,262,112,156,112,279,112,130,NA,225,262,156,262,279,279,46
"Aesculus","flava",85756,2017,42.305161,-71.122452,13,108,272,108,162,110,272,108,127,NA,272,NA,162,272,272,272,46
"Aesculus","flava",85756,2018,42.305161,-71.122452,13,114,195,117,145,117,263,117,131,NA,263,263,145,195,263,263,46
"Aesculus","flava",85757,2015,42.296417,-71.128052,26,NA,248,NA,NA,NA,248,144,NA,NA,279,279,NA,248,248,248,46
"Aesculus","flava",85757,2016,42.296417,-71.128052,26,114,148,114,153,119,220,116,133,NA,248,NA,153,148,220,220,46
"Aesculus","flava",85757,2017,42.296417,-71.128052,26,104,247,134,141,109,256,109,134,NA,241,254,141,247,256,256,46
"Aesculus","flava",85757,2018,42.296417,-71.128052,26,116,251,117,144,121,260,117,131,NA,251,251,144,251,260,260,46
"Aesculus","flava",85758,2015,42.305161,-71.122452,13,NA,218,NA,147,NA,240,147,NA,NA,255,255,147,218,240,240,46
"Aesculus","flava",85758,2016,42.305161,-71.122452,13,110,252,112,144,112,266,112,130,NA,274,260,144,252,266,266,46
"Aesculus","flava",85758,2017,42.305161,-71.122452,13,101,280,108,136,108,280,108,119,NA,280,NA,136,280,280,280,46
"Aesculus","flava",85758,2018,42.305161,-71.122452,13,112,178,116,137,117,192,116,125,NA,259,259,137,178,192,192,46
"Betula","alleghaniensis",85759,2015,42.301922,-71.123932,36,138,250,150,177,NA,250,138,NA,NA,270,240,177,250,250,250,46
"Betula","alleghaniensis",85759,2016,42.301922,-71.123932,36,109,278,104,207,116,281,114,114,114,234,229,207,278,281,281,46
"Betula","alleghaniensis",85759,2017,42.301922,-71.123932,36,102,242,118,139,117,242,112,118,119,NA,242,139,242,242,242,46
"Betula","alleghaniensis",85759,2018,42.301922,-71.123932,36,118,256,111,144,124,256,122,124,125,278,236,144,256,256,256,46
"Betula","alleghaniensis",85761,2015,42.301922,-71.123932,36,142,249,150,202,NA,270,138,158,NA,NA,243,202,249,270,270,46
"Betula","alleghaniensis",85761,2016,42.301922,-71.123932,36,112,271,101,200,119,284,114,114,124,NA,229,200,271,284,284,46
"Betula","alleghaniensis",85761,2017,42.301922,-71.123932,36,102,242,118,149,119,242,118,118,117,NA,251,149,242,242,242,46
"Betula","alleghaniensis",85761,2018,42.301922,-71.123932,36,114,266,112,140,123,277,123,123,130,277,231,140,266,277,277,46
"Betula","alleghaniensis",85762,2015,42.301922,-71.123932,36,138,250,150,177,NA,250,138,164,NA,262,240,177,250,250,250,46
"Betula","alleghaniensis",85762,2016,42.301922,-71.123932,36,102,260,104,168,116,276,114,111,114,293,229,168,260,276,276,46
