"ID","year","leafout","Genus","Species","elev","lat","long","budburst","force","force.lo","gdd.bb","gdd.lo","chill","achill","lophoto","bbphoto","m.photo.bb","m.photo.lo","photo.bb","photo.lo","dvr"
85756,2018,117,"Aesculus","flava",13,42.305161,-71.122452,114,4.32811594202899,4.66833333333333,309.12,346.6,5.23672897196262,69.41,13.8520589420911,13.722438092002,12.1380532816483,12.2076781145509,837.525676433732,878.952824247665,3
85757,2016,116,"Aesculus","flava",26,42.296417,-71.128052,114,5.98652173913043,6.10056338028169,440.35,460.42,12.2087755102041,62.74,13.8086114358157,13.7219274550676,12.1380359296635,12.1844859837867,837.524479146784,865.098504848858,2
85757,2017,109,"Aesculus","flava",26,42.296417,-71.128052,104,3.97864406779661,4.73609375,291.69,360.06,6.12519230769231,96.79,13.5005603184112,13.2736264751588,11.9034606558679,12.0211732282149,702.304178696203,769.355086605757,5
85757,2018,117,"Aesculus","flava",26,42.296417,-71.128052,116,4.58816901408451,4.66833333333333,336.24,346.6,5.64481818181818,69.41,13.8515065282904,13.8086114358157,12.1844859837867,12.2076390469048,865.098504848858,878.950011377149,1
85758,2016,112,"Aesculus","flava",13,42.305161,-71.122452,110,5.46938461538462,5.66746268656716,382.79,407,7.46079207920792,62.74,13.634615453176,13.5457748135269,12.0446099446194,12.0914116216052,782.899646400258,810.124578647549,2
85758,2017,108,"Aesculus","flava",13,42.305161,-71.122452,101,3.58607142857143,4.70365079365079,257.77,353.28,3.86575757575758,96.79,13.4560036668141,13.1356243681575,11.832445897144,11.9976646238334,662.616970240063,755.852871301506,7
85758,2018,116,"Aesculus","flava",13,42.305161,-71.122452,112,4.11850746268657,4.58816901408451,286.42,336.24,12.2035393258427,69.41,13.809149984128,13.634615453176,12.0914116216052,12.1845178212053,810.124578647549,865.100765305574,4
85759,2015,138,"Betula","alleghaniensis",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,10.9345689655172,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
85759,2016,114,"Betula","alleghaniensis",36,42.301922,-71.123932,109,5.411875,5.98652173913043,373.64,440.35,3.6925,95.73,13.7222489212141,13.5008372950663,12.0211612761638,12.1380468530124,769.354321674481,837.525232857854,5
85759,2017,112,"Betula","alleghaniensis",36,42.301922,-71.123932,102,3.76719298245614,4.85940298507463,271.68,382.53,7.07629411764706,96.79,13.634436702808,13.1817819953725,11.8561466246721,12.091410570335,675.800357606309,810.124508212442,10
85759,2018,122,"Betula","alleghaniensis",36,42.301922,-71.123932,118,4.81383561643836,5.26168831168831,361.89,415.63,6.14026315789474,69.41,14.0613821266207,13.8944432175436,12.2307702106748,12.3226379569987,892.84622537926,948.843122688897,4
85761,2015,138,"Betula","alleghaniensis",36,42.301922,-71.123932,142,4.9641935483871,4.9641935483871,610.72,610.72,9.13104166666667,59.38,NA,NA,NA,NA,NA,NA,-4
85761,2016,114,"Betula","alleghaniensis",36,42.301922,-71.123932,112,5.66746268656716,5.98652173913043,407,440.35,3.44248062015504,95.73,13.7222489212141,13.634436702808,12.091410570335,12.1380468530124,810.124508212442,837.525232857854,2
85761,2017,118,"Betula","alleghaniensis",36,42.301922,-71.123932,102,3.76719298245614,5.51520547945205,271.68,459.56,7.07629411764706,96.79,13.8944432175436,13.1817819953725,11.8561466246721,12.2307702106748,675.800357606309,892.84622537926,16
85761,2018,123,"Betula","alleghaniensis",36,42.301922,-71.123932,114,4.32811594202899,5.49794871794872,309.12,439.32,3.69698924731183,69.41,14.1021926703106,13.7222489212141,12.1380468530124,12.3454527610155,837.525232857854,962.945315359208,9
85762,2015,138,"Betula","alleghaniensis",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,10.9345689655172,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
85762,2016,114,"Betula","alleghaniensis",36,42.301922,-71.123932,102,5.05122807017544,5.98652173913043,315.2,440.35,4.03919708029197,95.73,13.7222489212141,13.1817819953725,11.8561466246721,12.1380468530124,675.800357606309,837.525232857854,12
85762,2017,105,"Betula","alleghaniensis",36,42.301922,-71.123932,102,3.76719298245614,4.126,271.68,304.51,7.07629411764706,96.79,13.3196394785944,13.1817819953725,11.8561466246721,11.9270293061517,675.800357606309,715.6217583691,3
85762,2018,122,"Betula","alleghaniensis",36,42.301922,-71.123932,114,4.32811594202899,5.26168831168831,309.12,415.63,3.69698924731183,69.41,14.0613821266207,13.7222489212141,12.1380468530124,12.3226379569987,837.525232857854,948.843122688897,8
85763,2015,138,"Betula","alleghaniensis",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,10.1487962962963,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
85763,2016,114,"Betula","alleghaniensis",36,42.301922,-71.123932,110,5.46938461538462,5.98652173913043,382.79,440.35,3.12685483870968,95.73,13.7222489212141,13.545606554161,12.0446142804406,12.1380468530124,782.899928228642,837.525232857854,4
85763,2017,117,"Betula","alleghaniensis",36,42.301922,-71.123932,102,3.76719298245614,5.31875,271.68,439.9,2.99935483870968,96.79,13.851854294494,13.1817819953725,11.8561466246721,12.207663641135,675.800357606309,878.951782161717,15
85763,2018,122,"Betula","alleghaniensis",36,42.301922,-71.123932,118,4.81383561643836,5.26168831168831,361.89,415.63,3.69698924731183,69.41,14.0613821266207,13.8944432175436,12.2307702106748,12.3226379569987,892.84622537926,948.843122688897,4
85764,2015,138,"Betula","alleghaniensis",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,10.9345689655172,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
85764,2016,114,"Betula","alleghaniensis",36,42.301922,-71.123932,102,5.05122807017544,5.98652173913043,315.2,440.35,5.42437908496732,95.73,13.7222489212141,13.1817819953725,11.8561466246721,12.1380468530124,675.800357606309,837.525232857854,12
85764,2017,117,"Betula","alleghaniensis",36,42.301922,-71.123932,102,3.76719298245614,5.31875,271.68,439.9,9.41226600985222,96.79,13.851854294494,13.1817819953725,11.8561466246721,12.207663641135,675.800357606309,878.951782161717,15
85764,2018,121,"Betula","alleghaniensis",36,42.301922,-71.123932,114,4.32811594202899,5.02026315789474,309.12,392.02,3.69698924731183,69.41,14.0201875658161,13.7222489212141,12.1380468530124,12.2997597442405,837.525232857854,934.781740562277,7
86258,2015,138,"Betula","nigra",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,8.40702380952381,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
86258,2016,132,"Betula","nigra",36,42.301922,-71.123932,114,5.98652173913043,6.72919540229885,440.35,612.72,3.6925,95.73,14.4496474710958,13.7222489212141,12.1380468530124,12.547477543089,837.525232857854,1091.63054624875,18
86258,2017,118,"Betula","nigra",36,42.301922,-71.123932,100,3.29345454545455,5.51520547945205,238.09,459.56,7.12795321637427,96.79,13.8944432175436,13.0890771132783,11.8087831205921,12.2307702106748,649.483071632564,892.84622537926,18
86258,2018,125,"Betula","nigra",36,42.301922,-71.123932,122,5.26168831168831,5.896875,415.63,482.23,3.54369565217391,69.41,14.1826019393166,14.0613821266207,12.3226379569987,12.3908815204732,948.843122688897,991.270521637855,3
86259,2015,138,"Betula","nigra",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,10.1487962962963,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
86259,2016,127,"Betula","nigra",36,42.301922,-71.123932,111,5.52787878787879,6.37280487804878,392.12,549.85,5.42437908496732,95.73,14.2612925068919,13.5901432809919,12.0680313865096,12.4360241962153,796.490071509634,1019.75398408965,16
86259,2017,108,"Betula","nigra",36,42.301922,-71.123932,100,3.29345454545455,4.70365079365079,238.09,353.28,9.77185714285714,96.79,13.4558459603083,13.0890771132783,11.8087831205921,11.9976743552288,649.483071632564,755.853484379415,8
86259,2018,122,"Betula","nigra",36,42.301922,-71.123932,114,4.32811594202899,5.26168831168831,309.12,415.63,7.64944881889764,69.41,14.0613821266207,13.7222489212141,12.1380468530124,12.3226379569987,837.525232857854,948.843122688897,8
86260,2015,138,"Betula","nigra",36,42.301922,-71.123932,142,4.9641935483871,4.9641935483871,610.72,610.72,11.8381746031746,59.38,NA,NA,NA,NA,NA,NA,-4
86260,2016,125,"Betula","nigra",36,42.301922,-71.123932,111,5.52787878787879,6.332375,392.12,533.87,7.15860465116279,95.73,14.1826019393166,13.5901432809919,12.0680313865096,12.3908815204732,796.490071509634,991.270521637855,14
86260,2017,117,"Betula","nigra",36,42.301922,-71.123932,101,3.58607142857143,5.31875,257.77,439.9,9.41226600985222,96.79,13.851854294494,13.1355039783727,11.832474564481,12.207663641135,662.618575610936,878.951782161717,16
86260,2018,122,"Betula","nigra",36,42.301922,-71.123932,118,4.81383561643836,5.26168831168831,361.89,415.63,6.72675,69.41,14.0613821266207,13.8944432175436,12.2307702106748,12.3226379569987,892.84622537926,948.843122688897,4
86261,2015,138,"Betula","nigra",36,42.301922,-71.123932,139,4.9641935483871,4.9641935483871,610.72,610.72,9.13104166666667,59.38,NA,NA,NA,NA,NA,NA,-1
86261,2016,130,"Betula","nigra",36,42.301922,-71.123932,114,5.98652173913043,6.53435294117647,440.35,582.7,3.12685483870968,95.73,14.3758243710854,13.7222489212141,12.1380468530124,12.5031517442143,837.525232857854,1062.76789825822,16
86261,2017,118,"Betula","nigra",36,42.301922,-71.123932,100,3.29345454545455,5.51520547945205,238.09,459.56,6.80915151515152,96.79,13.8944432175436,13.0890771132783,11.8087831205921,12.2307702106748,649.483071632564,892.84622537926,18
86261,2018,122,"Betula","nigra",36,42.301922,-71.123932,122,5.26168831168831,5.26168831168831,415.63,415.63,6.14026315789474,69.41,14.0613821266207,14.0613821266207,12.3226379569987,12.3226379569987,948.843122688897,948.843122688897,0
87754,2015,138,"Betula","nigra",36,42.301922,-71.123932,138,4.9641935483871,4.9641935483871,610.72,610.72,14.4414024390244,59.38,14.6574175467231,14.6574175467231,12.6781305576129,12.6781305576129,1179.066141858,1179.066141858,0
87754,2016,130,"Betula","nigra",36,42.301922,-71.123932,112,5.66746268656716,6.53435294117647,407,582.7,3.44248062015504,95.73,14.3758243710854,13.634436702808,12.091410570335,12.5031517442143,810.124508212442,1062.76789825822,18
